State,Margin,White,Hispanic or Latino,Black
MS-03,-41.5,63.1,1.3,33.8
MS-04,-48.7,71.7,3.0,22.7
MO-01,48.4,48.3,2.3,46.2
MO-02,-11.9,91.3,1.8,3.3
MO-03,-30.3,90.5,1.9,5.0
MO-04,-45.1,89.8,3.2,4.3
MO-05,24.4,68.1,5.7,22.8
MO-06,-42.8,91.0,2.8,4.1
MO-07,-44.2,91.3,3.0,2.2
MO-08,-54.1,92.1,1.5,4.4
MT-01,-3.2,90.1,2.9,0.5
MT-02,-36.4,87.2,3.3,0.8
NE-01,-15.8,87.4,5.6,3.3
NE-02,-2.7,80.7,6.2,9.8
NE-03,-66.4,89.6,6.7,1.2
NV-01,5.6,54.7,24.0,10.3
NV-02,-21.9,74.8,15.2,2.5
NV-03,4.0,54.0,17.0,10.6
NV-04,4.8,49.2,23.2,18.3
NH-01,8.1,92.9,2.7,1.6
NH-02,11.7,92.9,2.9,1.2
NJ-01,26.8,68.2,10.3,16.8
NJ-02,-23.2,73.0,10.6,12.3
NJ-03,10.8,71.7,7.7,13.4
NJ-04,-35.9,86.9,6.7,3.6
NJ-05,9.7,68.3,12.4,6.1
NJ-06,15.7,55.7,17.5,12.9
NJ-07,-4.6,79.9,8.4,5.2
NJ-08,49.3,35.0,46.5,10.4
NJ-09,10.3,48.9,33.3,9.8
NJ-10,56.3,24.0,16.0,53.4
NJ-11,16.5,72.0,11.8,6.8
NJ-12,21.3,54.4,12.5,18.2
NM-01,11.5,52.3,37.8,2.8
NM-02,0.7,36.1,54.5,2.2
NM-03,16.3,41.0,38.2,1.6
NY-01,-11.7,82.1,8.8,4.5
NY-02,-21.9,67.5,18.4,10.7
NY-03,-8.1,67.6,10.3,4.1
NY-04,-3.6,59.8,15.1,18.7
NY-05,50.2,17.2,17.2,48.4
NY-06,26.5,36.0,21.5,5.7
NY-07,60.9,41.2,33.4,13.9
NY-08,44.8,30.5,14.4,47.6
NY-09,82.0,34.4,9.6,48.2
NY-10,68.2,57.1,16.9,7.5
NY-11,-24.2,62.0,14.4,7.2
NY-12,63.5,73.2,11.0,4.8
NY-13,98.9,19.1,47.6,28.2
NY-14,43.0,23.8,45.7,20.5
NY-15,65.1,12.5,50.8,33.6
NY-16,28.4,49.3,20.7,23.5
NY-17,-0.6,73.6,12.6,8.5
NY-18,1.3,73.4,12.7,10.8
NY-19,-2.2,88.1,4.3,4.3
NY-20,10.0,82.6,4.4,8.8
NY-21,-18.8,91.7,3.2,3.0
NY-22,-1.5,84.5,3.9,8.2
NY-23,-30.0,93.0,2.5,2.8
NY-24,-31.9,91.9,2.8,3.7
NY-25,7.3,75.8,7.3,13.7
NY-26,27.5,75.0,5.2,16.2
NC-01,4.7,52.5,2.7,42.8
NC-02,29.4,68.7,5.3,18.7
NC-03,-33.8,71.0,6.2,20.0
NC-04,33.8,62.5,4.4,28.6
NC-05,-26.3,82.0,3.7,12.5
NC-06,8.8,60.0,4.0,32.4
NC-07,-15.4,67.7,3.4,19.6
NC-08,-39.8,78.7,3.8,15.0
NC-09,-13.0,63.2,7.1,24.9
NC-10,-45.3,83.6,3.2,10.6
NC-11,-9.3,90.2,2.6,4.1
NC-12,25.5,50.7,6.0,39.0
NC-13,3.2,67.1,5.4,24.6
NC-14,15.4,67.1,5.7,22.5
ND-AL,-62.2,88.6,2.9,2.1
OH-01,4.9,74.7,2.1,19.9
OH-02,-49.1,95.0,1.0,2.6
OH-03,40.3,64.8,3.1,27.3
OH-04,-38.6,90.5,1.7,5.5
OH-05,-34.1,88.5,5.6,4.5
OH-06,-35.5,89.8,2.2,6.6
OH-07,-10.9,91.0,2.6,3.5
OH-08,-29.8,83.1,1.7,12.5
OH-09,13.1,80.7,5.5,12.1
OH-10,-24.4,77.9,2.0,17.4
OH-11,55.2,47.6,5.9,44.1
OH-12,-39.1,92.8,1.3,3.9
OH-13,5.2,82.8,1.6,13.1
OH-14,-23.7,91.4,1.9,5.1
OH-15,-14.5,83.4,2.5,10.6
OK-01,-26.5,71.6,5.9,9.7
OK-02,-49.1,69.4,3.0,4.0
OK-03,-49.1,74.3,9.7,5.9
OK-04,-33.5,73.6,6.5,8.4
OK-05,-21.6,71.8,5.3,12.8
OR-01,36.0,78.4,9.1,2.4
OR-02,-35.1,85.3,8.7,0.9
OR-03,43.8,76.7,7.5,5.9
OR-04,7.5,87.2,5.5,1.2
OR-05,-2.2,87.5,5.8,1.2
OR-06,2.4,79.7,11.9,1.6
PA-01,-9.7,87.1,3.6,3.9
PA-02,51.3,45.2,21.1,25.7
PA-03,95.1,35.3,4.0,55.2
PA-04,22.6,83.6,3.8,8.1
PA-05,30.2,67.7,3.4,23.4
PA-06,16.5,79.8,10.4,6.4
PA-07,2.0,78.0,14.0,5.2
PA-08,2.4,83.4,8.5,5.9
PA-09,-38.7,92.4,3.8,2.6
PA-10,-7.7,80.6,6.0,10.2
PA-11,-23.1,87.6,6.8,3.4
PA-12,12.4,80.5,1.9,14.8
PA-13,-100.0,94.3,1.9,2.7
PA-14,-100.0,94.4,1.0,3.5
PA-15,-39.9,94.1,1.8,2.6
PA-16,-18.7,92.5,1.7,4.4
PA-17,6.8,89.0,1.3,7.7
RI-01,28.2,75.7,12.6,7.6
RI-02,3.7,83.0,9.3,4.2
SC-01,-13.9,74.4,3.8,19.0
SC-02,-20.2,67.9,3.4,26.0
SC-03,-97.6,77.1,2.4,18.8
SC-04,-90.8,72.8,4.1,20.2
SC-05,-29.6,69.6,2.7,25.5
SC-06,24.2,45.4,2.2,50.4
SC-07,-29.7,69.1,1.9,26.9
SD-AL,-77.4,87.0,2.4,1.5
TN-01,-58.6,94.3,1.7,2.6
TN-02,-35.8,89.6,2.0,6.2
TN-03,-38.0,84.6,2.3,11.0
TN-04,-45.6,84.5,3.0,9.8
TN-05,-13.6,79.3,3.6,13.9
TN-06,-32.7,85.7,2.5,9.7
TN-07,-21.8,75.9,3.8,17.2
TN-08,-49.7,78.4,1.7,17.9
TN-09,43.8,31.3,2.5,64.2
TX-01,-56.2,69.6,8.8,19.7
TX-02,-31.8,63.9,20.0,11.5
TX-03,-23.6,69.3,10.5,10.3
TX-04,-35.8,73.4,9.6,9.1
TX-05,-30.0,62.1,17.5,14.8
TX-06,-100.0,59.4,21.3,15.4
TX-07,27.6,39.1,21.2,20.4
TX-08,-37.5,58.8,21.7,13.5
TX-09,53.4,18.9,24.8,47.2
TX-10,-29.0,67.1,16.9,11.5
TX-11,-100.0,52.7,32.5,11.4
TX-12,-28.5,67.2,17.6,10.7
TX-13,-50.7,69.5,20.0,7.1
TX-14,-40.3,61.6,17.8,17.2
TX-15,-8.5,22.3,74.5,1.6
TX-16,26.9,15.6,78.5,3.8
TX-17,-33.0,63.4,17.5,16.2
TX-18,44.5,24.3,29.1,40.7
TX-19,-80.3,58.6,32.7,6.6
TX-20,36.8,22.2,68.6,6.0
TX-21,-25.7,66.8,26.4,3.8
TX-22,-26.7,53.1,23.7,11.7
TX-23,-17.1,34.7,58.1,4.1
TX-24,-19.5,73.3,11.8,7.0
TX-25,-100.0,69.1,15.2,11.7
TX-26,-69.3,70.1,13.0,9.1
TX-27,-28.9,43.8,49.2,4.9
TX-28,13.3,23.1,69.6,5.7
TX-29,42.8,14.0,64.6,18.0
TX-30,53.0,25.6,21.3,48.8
TX-31,-100.0,68.7,18.1,8.5
TX-32,30.7,46.7,21.1,23.8
TX-33,46.4,24.1,43.2,26.8
TX-34,8.5,11.8,86.8,0.6
TX-35,45.2,33.8,47.7,14.9
TX-36,-38.9,61.1,21.2,13.2
TX-37,55.8,63.0,22.2,6.8
TX-38,-27.4,61.5,18.6,10.4
UT-01,-33.9,85.5,9.2,1.4
UT-02,-25.7,82.3,10.7,1.4
UT-03,-34.9,86.6,6.8,1.0
UT-04,-28.7,84.0,9.9,1.1
VT-AL,34.8,94.6,1.6,1.2
VA-01,-13.0,77.9,3.3,13.9
VA-02,-3.4,64.8,5.3,23.6
VA-03,34.6,45.5,5.5,44.6
VA-04,30.0,47.7,3.8,45.3
VA-05,-15.3,73.6,2.0,22.0
VA-06,-28.9,85.9,3.4,8.5
VA-07,4.7,62.0,9.7,22.2
VA-08,48.8,62.5,11.4,13.8
VA-09,-46.7,90.4,1.5,6.2
VA-10,6.5,65.6,10.4,10.3
VA-11,33.7,60.5,9.3,9.1
WA-01,27.1,76.1,6.0,3.0
WA-02,20.3,80.3,7.0,2.7
WA-03,0.8,85.6,5.5,2.1
WA-04,-35.3,69.7,23.1,1.5
WA-05,-19.3,86.8,5.3,2.1
WA-06,20.1,80.9,5.5,4.3
WA-07,71.2,74.4,5.9,5.0
WA-08,6.9,82.4,5.8,2.2
WA-09,43.4,55.0,7.3,12.6
WA-10,14.1,71.3,8.0,7.7
WV-01,-37.9,93.4,0.9,4.4
WV-02,-31.1,93.5,1.5,3.4
WI-01,-8.9,83.7,7.3,6.5
WI-02,44.1,88.5,3.2,4.1
WI-03,-3.7,94.2,1.6,1.4
WI-04,52.7,52.2,10.8,32.5
WI-05,-28.8,92.0,3.5,1.9
WI-06,-94.9,92.5,2.7,2.1
WI-07,-23.8,93.9,1.3,0.9
WI-08,-72.2,90.9,2.9,1.5
WY-AL,-43.8,87.5,7.3,1.2
